"name","medal","avg_medals","country"
"AFG","Bronze",1,"Afghanistan"
"AHO","Silver",1,NA
"ALG","Bronze",2,NA
"ALG","Gold",2,NA
"ALG","Silver",2,NA
"ANZ","Bronze",3,NA
"ANZ","Gold",10,NA
"ANZ","Silver",2,NA
"ARG","Silver",7,"Argentina"
"ARG","Bronze",7,"Argentina"
"ARG","Gold",10,"Argentina"
"ARM","Silver",2,"Armenia"
"ARM","Gold",1,"Armenia"
"ARM","Bronze",3,"Armenia"
"AUS","Gold",14,"Australia"
"AUS","Bronze",17,"Australia"
"AUS","Silver",19,"Australia"
"AUT","Silver",6,"Austria"
"AUT","Bronze",5,"Austria"
"AUT","Gold",4,"Austria"
"AZE","Silver",3,"Azerbaijan"
"AZE","Gold",2,"Azerbaijan"
"AZE","Bronze",5,"Azerbaijan"
"BAH","Bronze",3,NA
"BAH","Gold",3,NA
"BAH","Silver",6,NA
"BAR","Bronze",1,NA
"BDI","Silver",1,"Burundi"
"BDI","Gold",1,"Burundi"
"BEL","Gold",7,"Belgium"
"BEL","Silver",10,"Belgium"
"BEL","Bronze",8,"Belgium"
"BER","Bronze",1,NA
"BLR","Bronze",8,"Belarus"
"BLR","Silver",5,"Belarus"
"BLR","Gold",3,"Belarus"
"BOH","Bronze",4,NA
"BOH","Silver",1,NA
"BOT","Silver",1,NA
"BRA","Bronze",12,"Brazil"
"BRA","Gold",10,"Brazil"
"BRA","Silver",16,"Brazil"
"BRN","Gold",1,"Brunei Darussalam"
"BRN","Silver",1,"Brunei Darussalam"
"BRN","Bronze",1,"Brunei Darussalam"
"BUL","Bronze",9,NA
"BUL","Gold",4,NA
"BUL","Silver",9,NA
"CAN","Bronze",14,"Canada"
"CAN","Silver",14,"Canada"
"CAN","Gold",15,"Canada"
"CHI","Bronze",7,NA
"CHI","Gold",3,NA
"CHI","Silver",2,NA
"CHN","Bronze",20,"China"
"CHN","Silver",24,"China"
"CHN","Gold",27,"China"
"CIV","Silver",1,"Cote d'Ivoire"
"CIV","Gold",1,"Cote d'Ivoire"
"CIV","Bronze",1,"Cote d'Ivoire"
"CMR","Gold",7,"Cameroon"
"CMR","Silver",1,"Cameroon"
"CMR","Bronze",1,"Cameroon"
"COL","Bronze",2,"Colombia"
"COL","Gold",2,"Colombia"
"COL","Silver",2,"Colombia"
"CRC","Silver",1,NA
"CRC","Bronze",2,NA
"CRC","Gold",1,NA
"CRO","Bronze",6,NA
"CRO","Gold",9,NA
"CRO","Silver",6,NA
"CUB","Gold",14,"Cuba"
"CUB","Silver",10,"Cuba"
"CUB","Bronze",12,"Cuba"
"CYP","Silver",1,"Cyprus"
"CZE","Bronze",8,"Czech Republic"
"CZE","Gold",4,"Czech Republic"
"CZE","Silver",4,"Czech Republic"
"DEN","Gold",8,NA
"DEN","Silver",9,NA
"DEN","Bronze",7,NA
"DJI","Bronze",1,"Djibouti"
"DOM","Silver",1,"Dominican Republic"
"DOM","Bronze",1,"Dominican Republic"
"DOM","Gold",1,"Dominican Republic"
"ECU","Silver",1,"Ecuador"
"ECU","Gold",1,"Ecuador"
"EGY","Silver",2,"Egypt"
"EGY","Bronze",2,"Egypt"
"EGY","Gold",2,"Egypt"
"ERI","Bronze",1,"Eritrea"
"ESP","Gold",9,"Spain"
"ESP","Silver",18,"Spain"
"ESP","Bronze",11,"Spain"
"EST","Gold",2,"Estonia"
"EST","Silver",2,"Estonia"
"EST","Bronze",3,"Estonia"
"ETH","Silver",2,"Ethiopia"
"ETH","Gold",2,"Ethiopia"
"ETH","Bronze",3,"Ethiopia"
"EUN","Gold",127,NA
"EUN","Bronze",81,NA
"EUN","Silver",71,NA
"FIJ","Gold",13,NA
"FIN","Silver",9,"Finland"
"FIN","Bronze",14,"Finland"
"FIN","Gold",8,"Finland"
"FRA","Silver",18,"France"
"FRA","Bronze",20,"France"
"FRA","Gold",16,"France"
"FRG","Gold",32,NA
"FRG","Silver",33,NA
"FRG","Bronze",39,NA
"GAB","Silver",1,"Gabon"
"GBR","Bronze",21,"United Kingdom"
"GBR","Silver",24,"United Kingdom"
"GBR","Gold",22,"United Kingdom"
"GDR","Bronze",47,NA
"GDR","Silver",55,NA
"GDR","Gold",67,NA
"GEO","Silver",2,"Georgia"
"GEO","Gold",2,"Georgia"
