"name","medal","avg_medals","no_of_years","country"
"AFG","Bronze",2,14,"Afghanistan"
"ARG","Silver",92,31,"Argentina"
"ARG","Bronze",91,31,"Argentina"
"ARG","Gold",91,31,"Argentina"
"ARM","Silver",5,12,"Armenia"
"ARM","Gold",2,12,"Armenia"
"ARM","Bronze",9,12,"Armenia"
"AUS","Gold",348,33,"Australia"
"AUS","Bronze",517,33,"Australia"
"AUS","Silver",455,33,"Australia"
"AUT","Silver",186,34,"Austria"
"AUT","Bronze",156,34,"Austria"
"AUT","Gold",108,34,"Austria"
"AZE","Silver",12,11,"Azerbaijan"
"AZE","Gold",7,11,"Azerbaijan"
"AZE","Bronze",25,11,"Azerbaijan"
"BDI","Silver",1,6,"Burundi"
"BDI","Gold",1,6,"Burundi"
"BEL","Gold",98,33,"Belgium"
"BEL","Silver",197,33,"Belgium"
"BEL","Bronze",173,33,"Belgium"
"BLR","Bronze",71,12,"Belarus"
"BLR","Silver",44,12,"Belarus"
"BLR","Gold",24,12,"Belarus"
"BRA","Bronze",191,29,"Brazil"
"BRA","Gold",109,29,"Brazil"
"BRA","Silver",175,29,"Brazil"
"BRN","Gold",1,9,"Brunei Darussalam"
"BRN","Silver",1,9,"Brunei Darussalam"
"BRN","Bronze",1,9,"Brunei Darussalam"
"CAN","Bronze",451,34,"Canada"
"CAN","Silver",438,34,"Canada"
"CAN","Gold",463,34,"Canada"
"CHN","Bronze",292,20,"China"
"CHN","Silver",347,20,"China"
"CHN","Gold",350,20,"China"
"CIV","Silver",1,13,"Cote d'Ivoire"
"CIV","Gold",1,13,"Cote d'Ivoire"
"CIV","Bronze",1,13,"Cote d'Ivoire"
"CMR","Gold",20,15,"Cameroon"
"CMR","Silver",1,15,"Cameroon"
"CMR","Bronze",1,15,"Cameroon"
"COL","Bronze",14,21,"Colombia"
"COL","Gold",5,21,"Colombia"
"COL","Silver",9,21,"Colombia"
"CUB","Gold",164,21,"Cuba"
"CUB","Silver",129,21,"Cuba"
"CUB","Bronze",116,21,"Cuba"
"CYP","Silver",1,16,"Cyprus"
"CZE","Bronze",66,12,"Czech Republic"
"CZE","Gold",42,12,"Czech Republic"
"CZE","Silver",36,12,"Czech Republic"
"DJI","Bronze",1,8,"Djibouti"
"DOM","Silver",2,14,"Dominican Republic"
"DOM","Bronze",2,14,"Dominican Republic"
"DOM","Gold",3,14,"Dominican Republic"
"ECU","Silver",1,14,"Ecuador"
"ECU","Gold",1,14,"Ecuador"
"EGY","Silver",8,21,"Egypt"
"EGY","Bronze",12,21,"Egypt"
"EGY","Gold",7,21,"Egypt"
"ERI","Bronze",1,5,"Eritrea"
"ESP","Gold",110,30,"Spain"
