"name","date","value"
"AUS",1896-12-10,3
"AUT",1896-12-10,5
"DEN",1896-12-10,6
"FRA",1896-12-10,11
"GBR",1896-12-10,9
"GER",1896-12-10,32
"GRE",1896-12-10,48
"HUN",1896-12-10,6
"SUI",1896-12-10,3
"USA",1896-12-10,20
"AUS",1900-12-10,6
"AUT",1900-12-10,6
"BEL",1900-12-10,43
"BOH",1900-12-10,3
"CAN",1900-12-10,2
"COL",1900-12-10,1
"CUB",1900-12-10,2
"DEN",1900-12-10,9
"ESP",1900-12-10,2
"FRA",1900-12-10,235
"GBR",1900-12-10,108
"GER",1900-12-10,45
"HAI",1900-12-10,1
"HUN",1900-12-10,5
"IND",1900-12-10,2
"ITA",1900-12-10,5
"LUX",1900-12-10,1
"MEX",1900-12-10,3
"NED",1900-12-10,27
"NOR",1900-12-10,9
"NZL",1900-12-10,1
"SUI",1900-12-10,21
"SWE",1900-12-10,4
"USA",1900-12-10,63
"AUS",1904-12-10,4
"AUT",1904-12-10,4
"CAN",1904-12-10,48
"CUB",1904-12-10,5
"FRA",1904-12-10,2
"GBR",1904-12-10,2
"GER",1904-12-10,16
"GRE",1904-12-10,2
"HUN",1904-12-10,4
"NOR",1904-12-10,2
"SUI",1904-12-10,3
"USA",1904-12-10,394
"AUS",1906-12-10,3
"AUT",1906-12-10,9
"BEL",1906-12-10,11
"BOH",1906-12-10,3
"CAN",1906-12-10,2
"DEN",1906-12-10,34
"FIN",1906-12-10,4
"FRA",1906-12-10,64
"GBR",1906-12-10,39
"GER",1906-12-10,30
"GRE",1906-12-10,102
"HUN",1906-12-10,13
"ITA",1906-12-10,56
"NED",1906-12-10,6
"NOR",1906-12-10,25
"SUI",1906-12-10,12
"SWE",1906-12-10,21
"USA",1906-12-10,24
"ANZ",1908-12-10,19
"AUT",1908-12-10,1
"BEL",1908-12-10,33
"BOH",1908-12-10,6
"CAN",1908-12-10,52
"DEN",1908-12-10,17
"FIN",1908-12-10,30
"FRA",1908-12-10,40
"GBR",1908-12-10,368
"GER",1908-12-10,21
"GRE",1908-12-10,4
"HUN",1908-12-10,20
"ITA",1908-12-10,8
"NED",1908-12-10,16
"NOR",1908-12-10,42
"RSA",1908-12-10,2
"RUS",1908-12-10,3
"SWE",1908-12-10,84
"USA",1908-12-10,65
"ANZ",1912-12-10,10
"AUT",1912-12-10,14
"BEL",1912-12-10,19
"CAN",1912-12-10,8
"DEN",1912-12-10,87
"FIN",1912-12-10,71
"FRA",1912-12-10,26
"GBR",1912-12-10,170
"GER",1912-12-10,53
"GRE",1912-12-10,2
"HUN",1912-12-10,30
"ITA",1912-12-10,25
"NED",1912-12-10,26
"NOR",1912-12-10,80
"RSA",1912-12-10,7
"RUS",1912-12-10,14
"SUI",1912-12-10,2
"SWE",1912-12-10,190
"USA",1912-12-10,107
"AUS",1920-12-10,7
"BEL",1920-12-10,188
"BRA",1920-12-10,7
"CAN",1920-12-10,16
"DEN",1920-12-10,71
"ESP",1920-12-10,23
"EST",1920-12-10,3
"FIN",1920-12-10,52
"FRA",1920-12-10,141
"GBR",1920-12-10,111
"GRE",1920-12-10,5
"ITA",1920-12-10,84
"JPN",1920-12-10,3
"LUX",1920-12-10,1
"NED",1920-12-10,50
"NOR",1920-12-10,137
"NZL",1920-12-10,1
"RSA",1920-12-10,21
"SUI",1920-12-10,29
"SWE",1920-12-10,154
"TCH",1920-12-10,10
"USA",1920-12-10,194
"ARG",1924-12-10,10
"AUS",1924-12-10,11
"AUT",1924-12-10,8
"BEL",1924-12-10,44
"CAN",1924-12-10,29
"DEN",1924-12-10,14
"EST",1924-12-10,6
"FIN",1924-12-10,67
"FRA",1924-12-10,120
"GBR",1924-12-10,95
"GRE",1924-12-10,1
"HAI",1924-12-10,5
"HUN",1924-12-10,22
"IND",1924-12-10,7
"IRL",1924-12-10,2
"ITA",1924-12-10,51
"JPN",1924-12-10,1
"LUX",1924-12-10,2
"MON",1924-12-10,1
"NED",1924-12-10,27
"NEP",1924-12-10,1
"NOR",1924-12-10,39
"NZL",1924-12-10,1
"POL",1924-12-10,5
"POR",1924-12-10,4
"ROU",1924-12-10,16
"RSA",1924-12-10,3
"SUI",1924-12-10,69
"SWE",1924-12-10,81
"TCH",1924-12-10,10
"URU",1924-12-10,14
"USA",1924-12-10,194
"YUG",1924-12-10,2
"ARG",1928-12-10,26
"AUS",1928-12-10,4
"AUT",1928-12-10,11
"BEL",1928-12-10,6
"CAN",1928-12-10,45
"CHI",1928-12-10,1
"DEN",1928-12-10,15
"EGY",1928-12-10,4
"ESP",1928-12-10,3
"EST",1928-12-10,9
"FIN",1928-12-10,29
"FRA",1928-12-10,52
"GBR",1928-12-10,59
"GER",1928-12-10,82
"HAI",1928-12-10,1
"HUN",1928-12-10,21
"IND",1928-12-10,14
"IRL",1928-12-10,1
"ITA",1928-12-10,72
"JPN",1928-12-10,9
"LUX",1928-12-10,1
"NED",1928-12-10,57
"NOR",1928-12-10,24
"NZL",1928-12-10,1
"PHI",1928-12-10,1
"POL",1928-12-10,20
"POR",1928-12-10,6
"RSA",1928-12-10,6
"SUI",1928-12-10,42
"SWE",1928-12-10,53
"TCH",1928-12-10,17
"URU",1928-12-10,17
"USA",1928-12-10,102
"YUG",1928-12-10,12
"ARG",1932-12-10,4
"AUS",1932-12-10,5
"AUT",1932-12-10,7
"BEL",1932-12-10,1
"CAN",1932-12-10,59
"DEN",1932-12-10,11
"ESP",1932-12-10,1
"FIN",1932-12-10,32
"FRA",1932-12-10,42
"GBR",1932-12-10,35
"GER",1932-12-10,57
"HUN",1932-12-10,35
"IND",1932-12-10,15
"IRL",1932-12-10,2
"ITA",1932-12-10,77
"JPN",1932-12-10,31
"LAT",1932-12-10,1
"MEX",1932-12-10,2
"NED",1932-12-10,13
"NOR",1932-12-10,10
"NZL",1932-12-10,2
"PHI",1932-12-10,3
"POL",1932-12-10,21
"RSA",1932-12-10,5
"SUI",1932-12-10,3
"SWE",1932-12-10,35
"TCH",1932-12-10,6
"URU",1932-12-10,1
"USA",1932-12-10,223
"ARG",1936-12-10,11
"AUS",1936-12-10,1
"AUT",1936-12-10,60
"BEL",1936-12-10,14
"CAN",1936-12-10,35
"DEN",1936-12-10,6
"EGY",1936-12-10,5
"EST",1936-12-10,7
"FIN",1936-12-10,36
"FRA",1936-12-10,45
"GBR",1936-12-10,53
"GER",1936-12-10,230
"HUN",1936-12-10,43
"IND",1936-12-10,19
"ITA",1936-12-10,76
"JPN",1936-12-10,23
"LAT",1936-12-10,2
"MEX",1936-12-10,16
"NED",1936-12-10,37
"NOR",1936-12-10,46
"NZL",1936-12-10,1
"PHI",1936-12-10,1
"POL",1936-12-10,12
"POR",1936-12-10,3
"ROU",1936-12-10,1
"RSA",1936-12-10,1
"SUI",1936-12-10,62
"SWE",1936-12-10,45
"TCH",1936-12-10,18
"TUR",1936-12-10,2
"USA",1936-12-10,112
"YUG",1936-12-10,1
"ARG",1948-12-10,11
"AUS",1948-12-10,16
"AUT",1948-12-10,16
"BEL",1948-12-10,21
"BRA",1948-12-10,10
"CAN",1948-12-10,22
"CUB",1948-12-10,2
"DEN",1948-12-10,51
"EGY",1948-12-10,5
"ESP",1948-12-10,3
"FIN",1948-12-10,42
"FRA",1948-12-10,77
"GBR",1948-12-10,63
"HUN",1948-12-10,64
"IND",1948-12-10,20
"IRI",1948-12-10,1
"IRL",1948-12-10,1
"ITA",1948-12-10,68
"JAM",1948-12-10,3
"KOR",1948-12-10,2
"MEX",1948-12-10,9
"NED",1948-12-10,42
"NOR",1948-12-10,31
"PAN",1948-12-10,2
"PER",1948-12-10,1
"POL",1948-12-10,2
"POR",1948-12-10,5
"PUR",1948-12-10,1
"RSA",1948-12-10,6
"SRI",1948-12-10,1
"SUI",1948-12-10,64
"SWE",1948-12-10,88
"TCH",1948-12-10,37
"TTO",1948-12-10,1
"TUR",1948-12-10,12
"URU",1948-12-10,3
