"name","date","Season","value"
"AUS",1896-12-11,"Summer",3
"AUT",1896-12-11,"Summer",5
"DEN",1896-12-11,"Summer",6
"FRA",1896-12-11,"Summer",11
"GBR",1896-12-11,"Summer",9
"GER",1896-12-11,"Summer",32
"GRE",1896-12-11,"Summer",48
"HUN",1896-12-11,"Summer",6
"SUI",1896-12-11,"Summer",3
"USA",1896-12-11,"Summer",20
"AUS",1900-12-11,"Summer",6
"AUT",1900-12-11,"Summer",6
"BEL",1900-12-11,"Summer",43
"BOH",1900-12-11,"Summer",3
"CAN",1900-12-11,"Summer",2
"COL",1900-12-11,"Summer",1
"CUB",1900-12-11,"Summer",2
"DEN",1900-12-11,"Summer",9
"ESP",1900-12-11,"Summer",2
"FRA",1900-12-11,"Summer",235
"GBR",1900-12-11,"Summer",108
"GER",1900-12-11,"Summer",45
"HAI",1900-12-11,"Summer",1
"HUN",1900-12-11,"Summer",5
"IND",1900-12-11,"Summer",2
"ITA",1900-12-11,"Summer",5
"LUX",1900-12-11,"Summer",1
"MEX",1900-12-11,"Summer",3
"NED",1900-12-11,"Summer",27
"NOR",1900-12-11,"Summer",9
"NZL",1900-12-11,"Summer",1
"SUI",1900-12-11,"Summer",21
"SWE",1900-12-11,"Summer",4
"USA",1900-12-11,"Summer",63
"AUS",1904-12-11,"Summer",4
"AUT",1904-12-11,"Summer",4
"CAN",1904-12-11,"Summer",48
"CUB",1904-12-11,"Summer",5
"FRA",1904-12-11,"Summer",2
"GBR",1904-12-11,"Summer",2
"GER",1904-12-11,"Summer",16
"GRE",1904-12-11,"Summer",2
"HUN",1904-12-11,"Summer",4
"NOR",1904-12-11,"Summer",2
"SUI",1904-12-11,"Summer",3
"USA",1904-12-11,"Summer",394
"AUS",1906-12-11,"Summer",3
"AUT",1906-12-11,"Summer",9
"BEL",1906-12-11,"Summer",11
"BOH",1906-12-11,"Summer",3
"CAN",1906-12-11,"Summer",2
"DEN",1906-12-11,"Summer",34
"FIN",1906-12-11,"Summer",4
"FRA",1906-12-11,"Summer",64
"GBR",1906-12-11,"Summer",39
"GER",1906-12-11,"Summer",30
"GRE",1906-12-11,"Summer",102
"HUN",1906-12-11,"Summer",13
"ITA",1906-12-11,"Summer",56
"NED",1906-12-11,"Summer",6
"NOR",1906-12-11,"Summer",25
"SUI",1906-12-11,"Summer",12
"SWE",1906-12-11,"Summer",21
