"","Year","NOC","Athletes_F","Athletes_M","Medals_F","Medals_M","type","value"
"1",1936,"ARG",1,50,1,10,"Prop_F_Athletes",0.0196078431372549
"2",1936,"AUT",27,265,2,58,"Prop_F_Athletes",0.0924657534246575
"3",1936,"BEL",8,168,0,14,"Prop_F_Athletes",0.0454545454545455
"4",1936,"BRA",6,67,0,0,"Prop_F_Athletes",0.0821917808219178
"5",1936,"CAN",25,101,5,30,"Prop_F_Athletes",0.198412698412698
"6",1936,"CHN",2,52,0,0,"Prop_F_Athletes",0.037037037037037
"7",1936,"DEN",16,105,2,4,"Prop_F_Athletes",0.132231404958678
"8",1936,"EGY",0,53,0,5,"Prop_F_Athletes",0
"9",1936,"FIN",5,122,0,36,"Prop_F_Athletes",0.0393700787401575
"10",1936,"FRA",11,218,0,45,"Prop_F_Athletes",0.0480349344978166
"11",1936,"GBR",47,198,6,47,"Prop_F_Athletes",0.191836734693878
"12",1936,"GER",51,437,27,204,"Prop_F_Athletes",0.104508196721311
"13",1936,"HUN",22,216,11,32,"Prop_F_Athletes",0.092436974789916
"14",1936,"ITA",21,263,1,75,"Prop_F_Athletes",0.073943661971831
"15",1936,"JPN",20,231,1,22,"Prop_F_Athletes",0.0796812749003984
"16",1936,"LAT",3,52,0,2,"Prop_F_Athletes",0.0545454545454545
"17",1936,"LUX",1,52,0,0,"Prop_F_Athletes",0.0188679245283019
"18",1936,"NED",22,151,8,29,"Prop_F_Athletes",0.127167630057803
"19",1936,"NOR",8,92,2,44,"Prop_F_Athletes",0.08
"20",1936,"POL",17,147,3,9,"Prop_F_Athletes",0.103658536585366
"21",1936,"ROU",3,65,0,1,"Prop_F_Athletes",0.0441176470588235
"22",1936,"SUI",10,214,1,61,"Prop_F_Athletes",0.0446428571428571
"23",1936,"SWE",9,193,2,43,"Prop_F_Athletes",0.0445544554455446
"24",1936,"TCH",19,215,8,10,"Prop_F_Athletes",0.0811965811965812
"25",1936,"TUR",2,52,0,2,"Prop_F_Athletes",0.037037037037037
"26",1936,"USA",55,359,17,95,"Prop_F_Athletes",0.132850241545894
"27",1936,"YUG",15,95,0,1,"Prop_F_Athletes",0.136363636363636
"28",1936,"ARG",1,50,1,10,"Prop_F_Medals",0.0909090909090909
"29",1936,"AUT",27,265,2,58,"Prop_F_Medals",0.0333333333333333
"30",1936,"BEL",8,168,0,14,"Prop_F_Medals",0
"31",1936,"BRA",6,67,0,0,"Prop_F_Medals",NA
"32",1936,"CAN",25,101,5,30,"Prop_F_Medals",0.142857142857143
"33",1936,"CHN",2,52,0,0,"Prop_F_Medals",NA
"34",1936,"DEN",16,105,2,4,"Prop_F_Medals",0.333333333333333
"35",1936,"EGY",0,53,0,5,"Prop_F_Medals",0
"36",1936,"FIN",5,122,0,36,"Prop_F_Medals",0
"37",1936,"FRA",11,218,0,45,"Prop_F_Medals",0
"38",1936,"GBR",47,198,6,47,"Prop_F_Medals",0.113207547169811
"39",1936,"GER",51,437,27,204,"Prop_F_Medals",0.116883116883117
"40",1936,"HUN",22,216,11,32,"Prop_F_Medals",0.255813953488372
"41",1936,"ITA",21,263,1,75,"Prop_F_Medals",0.0131578947368421
"42",1936,"JPN",20,231,1,22,"Prop_F_Medals",0.0434782608695652
"43",1936,"LAT",3,52,0,2,"Prop_F_Medals",0
"44",1936,"LUX",1,52,0,0,"Prop_F_Medals",NA
"45",1936,"NED",22,151,8,29,"Prop_F_Medals",0.216216216216216
"46",1936,"NOR",8,92,2,44,"Prop_F_Medals",0.0434782608695652
"47",1936,"POL",17,147,3,9,"Prop_F_Medals",0.25
"48",1936,"ROU",3,65,0,1,"Prop_F_Medals",0
"49",1936,"SUI",10,214,1,61,"Prop_F_Medals",0.0161290322580645
"50",1936,"SWE",9,193,2,43,"Prop_F_Medals",0.0444444444444444
"51",1936,"TCH",19,215,8,10,"Prop_F_Medals",0.444444444444444
"52",1936,"TUR",2,52,0,2,"Prop_F_Medals",0
"53",1936,"USA",55,359,17,95,"Prop_F_Medals",0.151785714285714
"54",1936,"YUG",15,95,0,1,"Prop_F_Medals",0
